20-Nov-2022 21:28:21.892 INFO [http-nio-8080-exec-1] org.apache.catalina.core.ApplicationContext.log Manager: init: Associated with Deployer 'Catalina:type=Deployer,host=localhost'
20-Nov-2022 21:28:21.892 INFO [http-nio-8080-exec-1] org.apache.catalina.core.ApplicationContext.log Manager: init: Global resources are available
20-Nov-2022 21:28:21.901 INFO [http-nio-8080-exec-1] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/webapp-headers'
20-Nov-2022 21:28:21.901 INFO [http-nio-8080-exec-1] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to C:\Users\Usuario\Desktop\jakarta_Experto\apache-tomcat-10.0.27\webapps\webapp-headers.war.tmp
20-Nov-2022 21:29:09.258 INFO [http-nio-8080-exec-5] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/webapp-headers'
20-Nov-2022 21:29:09.258 INFO [http-nio-8080-exec-5] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to C:\Users\Usuario\Desktop\jakarta_Experto\apache-tomcat-10.0.27\webapps\webapp-headers.war.tmp
20-Nov-2022 21:30:10.214 INFO [http-nio-8080-exec-14] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/webapp-headers'
20-Nov-2022 21:30:10.215 INFO [http-nio-8080-exec-14] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to C:\Users\Usuario\Desktop\jakarta_Experto\apache-tomcat-10.0.27\webapps\webapp-headers.war.tmp
20-Nov-2022 21:32:27.988 INFO [http-nio-8080-exec-19] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/webapp-headers'
20-Nov-2022 21:32:27.988 INFO [http-nio-8080-exec-19] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to C:\Users\Usuario\Desktop\jakarta_Experto\apache-tomcat-10.0.27\webapps\webapp-headers.war.tmp
20-Nov-2022 21:44:21.621 INFO [http-nio-8080-exec-26] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/webapp-headers'
20-Nov-2022 21:44:21.621 INFO [http-nio-8080-exec-26] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to C:\Users\Usuario\Desktop\jakarta_Experto\apache-tomcat-10.0.27\webapps\webapp-headers.war.tmp
